	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	6.551702	Memory	2.381014	7	1	6.551702	0	0	3	1	1	3	1	1	1	1	1	38	0.5320323	0.9831547	1.414639	189.0761	-108	155.1231	-104.7491
1	15.73749	Memory	2.542681	7	1	9.185789	38	0	9	3	1	9	3	1	1	1	1	37	0.4970608	0.8742347	1.894089	189.0761	105.4286	153.0859	116.4
2	25.16922	Memory	2.422818	7	1	9.431732	37	0	7	0	0	7	0	0	1	1	1	36	0.5320631	1.044096	2.072196	189.0761	-23.14286	140.7628	-14.90854
3	34.14571	Memory	2.353179	7	1	8.976482	37	0	6	0	0	6	0	0	1	1	1	38	0.5471838	0.9455317	1.259659	189.0761	131.1428	133.8551	128.4988
4	44.27644	Memory	2.419927	7	1	10.13073	37	0.08017962	1	0	0	1	0	0	1	1	1	35	0.5275435	0.7139089	2.504295	189.0761	79.71428	130.4177	93.74768
5	53.20124	Memory	2.335512	7	1	8.924801	36	0.03869089	1	3	1	1	3	1	1	1	1	37	0.5475546	1.099317	1.589029	189.0761	149.1429	141.3671	151.9732
6	64.90936	Memory	2.355508	7	1	11.70812	36	0.5854772	3	3	1	3	3	1	1	1	1	34	0.5519118	0.932068	3.356824	189.0761	64.28572	129.8686	62.71853
