	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	5.814736	CountSuits	2.138293	8	1	5.814736	0	0.5321295	5	3	1	5	3	1	1	1	1	34	0.5964012	0	3.276194	189.0761	153	142.5832	159.2073
1	14.61391	CountSuits	1.638293	8	1	8.799177	34	0	3	1	1	3	1	1	1	1	1	38	0.7689848	0	1.140479	189.0761	135	153.8108	132.0941
2	23.54808	CountSuits	2.138293	8	1	8.934167	36	0	7	3	1	7	3	1	1	1	1	34	0.5853725	0	3.485803	189.0761	54	142.9932	43.7692
3	32.84302	CountSuits	1.932921	8	1	9.294941	35	0.09606577	9	0	0	9	0	0	1	1	1	34	0.6491513	0	3.317287	189.0761	45	146.7508	37.10452
4	41.42799	CountSuits	1.84753	8	1	8.584972	35	0	4	0	0	4	0	0	1	1	1	36	0.682918	0	2.463428	189.0761	108	132.5772	106.7822
5	48.91671	CountSuits	1.881681	8	1	7.488716	35	0	4	1	1	4	1	1	1	1	1	37	0.6686156	0	1.595117	189.0761	54	139.8796	45.78101
6	57.58912	CountSuits	1.976808	8	1	8.672405	35	0	5	2	0	5	2	0	1	1	1	36	1.492754	0	2.077513	189.0761	-126	153.4728	-127.387
