Choice;Time;Mode;Speed;N cards;Match;Turn Time;Precision;Choice changed;Objective Value;Objective Suit;Objective Color;Choice Value;Choice Suit;Choice Color;Points Value;Points Suit;Points Color; Total;Time To Play;Time To Memorize;Time To Choose;Objective Pos Magnitude;Objective Pos Angle;Choice Pos Magnitude;Choice Pos Angle
6;38.6536;Basic;2.619056;6;1;6.662592;38;0;4;3;1;4;3;1;1;1;1;36;0.4864869;0;2.281915;189.0761;174;208.2436;174.4089
7;45.22931;Basic;2.546197;6;1;6.575714;37;0;3;2;0;3;2;0;1;1;1;37;0.502782;0;1.973983;189.0761;30;138.6218;28.48491
8;51.00251;Basic;2.510798;6;1;5.773197;37;0;8;3;1;8;3;1;1;1;1;38;0.5014008;0;1.147535;189.0761;168;186.4061;168.0223
9;57.0999;Basic;2.52918;6;1;6.097385;37;0;2;1;1;2;1;1;1;1;1;37;0.546701;0;1.517397;189.0761;168;176.0669;169.1379
10;62.53861;Basic;2.525392;6;1;5.438713;37;0;6;2;0;6;2;0;1;1;1;39;0.4970005;0;0.9085152;189.0761;114;149.0493;117.4822
0;3.813138;Basic;2.549969;7;1;3.813138;0;0.04224366;6;2;0;6;2;0;1;1;1;37;0.5043402;0;1.572607;189.0761;174.8571;211.1066;-179.5982
1;9.855376;Basic;2.463696;7;1;6.042239;37;0;4;2;0;4;2;0;1;1;1;38;0.5176088;0;1.085261;189.0761;141.4286;195.9572;141.3067
2;15.82207;Basic;2.585533;7;1;5.966691;37;0.08566666;0;3;1;0;3;1;1;1;1;37;0.4886473;0;1.529939;189.0761;72;138.5545;71.28648
3;21.57309;Basic;2.552032;7;1;5.75102;37;0;6;3;1;6;3;1;1;1;1;38;0.5005418;0;1.176457;189.0761;56.57144;130.5258;62.23451
4;27.8263;Basic;2.579467;7;1;6.253216;37;0;7;3;1;7;3;1;1;1;1;38;0.4970494;0;1.411744;189.0761;-56.57145;179.4069;-53.10625
5;34.12053;Basic;2.572399;7;1;6.294222;37;0;0;3;1;0;3;1;1;1;1;38;0.4970016;0;1.461683;189.0761;-172.2857;188.3409;-179.4624
6;40.34932;Basic;2.563526;7;1;6.228794;37;0;8;1;1;8;1;1;1;1;1;38;0.4969127;0;1.375791;189.0761;51.42857;148.8243;46.72537
7;46.78237;Basic;2.563323;7;1;6.433048;37;0;1;3;1;1;3;1;1;1;1;37;0.5010088;0;1.751433;189.0761;-138.8571;147.3905;-151.493
8;53.58675;Basic;2.539693;7;1;6.804386;37;0;7;1;1;7;1;1;1;1;1;37;0.5009307;0;1.899435;189.0761;102.8571;163.6967;111.8433
9;60.47431;Basic;2.513092;7;1;6.887554;37;0;6;3;1;6;3;1;1;1;1;36;0.5013933;0;2.250639;189.0761;-36;195.7979;-47.7799
0;4.225986;Basic;2.474251;8;1;4.225986;0;0.6657207;3;1;1;3;1;1;1;1;1;37;0.5210935;0;1.698515;189.0761;162;172.9776;159.2268
1;12.09902;Basic;2.400742;8;1;7.873033;37;1.035024;3;2;0;3;2;0;1;1;1;35;0.5349618;0;2.898975;189.0761;63;140.9442;58.56797
2;19.07304;Basic;2.100627;8;1;6.974025;36;0;1;3;1;1;3;1;1;1;1;38;0.5964012;0;1.084779;189.0761;-80.99999;152.1253;-80.45815
3;24.78776;Basic;2.302955;8;1;5.714712;36;0;1;3;1;1;3;1;1;1;1;39;0.5524309;0;0.7527009;189.0761;-153;182.5278;-162.7603
4;30.53549;Basic;2.445629;8;1;5.74773;37;0;2;0;0;2;0;0;1;1;1;38;0.516651;0;1.08244;189.0761;-90;156.1901;-78.78465
5;36.10365;Basic;2.498259;8;1;5.568167;37;0;4;1;1;4;1;1;1;1;1;38;0.50101;0;1.092969;189.0761;-117;146.8034;-120.4321
6;42.01448;Basic;2.532468;8;1;5.910831;37;0;6;1;1;6;1;1;1;1;1;39;0.6323797;0;0.9550523;189.0761;-80.99999;150.0495;-78.83575
7;48.13702;Basic;2.566755;8;1;6.122532;37;0;2;3;1;2;3;1;1;1;1;38;0.5014931;0;1.286187;189.0761;45;166.0371;38.84278
8;55.49295;Basic;2.571774;8;1;7.355934;37;0;2;2;0;2;2;0;1;1;1;36;0.4863377;0;2.318932;189.0761;-162;161.9178;-169.9399
9;62.12455;Basic;2.518303;8;1;6.631599;37;0.1371751;5;1;1;5;1;1;1;1;1;37;0.5016341;0;1.793681;189.0761;72;170.1042;79.81061
0;18.73028;Memory;2.501789;3;1;18.73028;0;0;3;0;0;3;0;0;1;1;1;39;1.330837;6.033226;0.7601408;189.0761;-36;189.1733;-26.35253
1;25.57303;Memory;2.86993;3;1;6.842754;39;0;3;1;1;3;1;1;1;1;1;39;0.4472998;1.159716;0.9724444;189.0761;120;154.4116;129.1218
2;34.5018;Memory;2.816854;3;1;8.928762;39;0;8;1;1;8;1;1;1;1;1;38;0.447299;1.458185;1.30835;189.0761;-18;175.287;-25.11927
3;41.80904;Memory;2.743177;3;1;7.307247;38;0;8;3;1;8;3;1;1;1;1;38;0.4638464;1.043699;1.466057;189.0761;-138;172.5864;-153.8443
4;49.00921;Memory;2.686626;3;1;7.200165;38;0;4;1;1;4;1;1;1;1;1;39;0.4804333;1.541535;0.6619967;189.0761;-36;196.4108;-36.66628
5;57.11926;Memory;2.733101;3;1;8.110054;38;0;3;2;0;3;2;0;1;1;1;38;0.463865;1.590657;1.096924;189.0761;120;152.3344;118.2749
6;65.5563;Memory;2.727841;3;1;8.437035;38;0.04503958;4;2;0;4;2;0;1;1;1;38;0.4634615;0.9288394;1.019305;189.0761;-102;137.0125;-101.1282
0;6.975296;Memory;2.729627;4;1;6.975296;0;0;4;0;0;4;0;0;1;1;1;36;0.4638678;0.9942518;2.242781;189.0761;72;161.7816;77.27941
1;15.64272;Memory;2.229627;4;1;8.667428;36;0;7;1;1;7;1;1;1;1;1;38;0.5665825;1.159615;1.244979;189.0761;-71.99999;144.9571;-82.44255
2;24.43982;Memory;2.37806;4;1;8.797097;37;0;3;2;0;3;2;0;1;1;1;38;0.5321179;1.535375;1.015951;189.0761;-36;157.4352;-37.28665
3;34.26836;Memory;2.499382;4;1;9.828539;37;0;9;3;1;9;3;1;1;1;1;35;0.5135692;1.275664;2.600736;189.0761;-108;126.8519;-98.81798
4;41.99338;Memory;2.361944;4;1;7.725021;36;0;4;1;1;4;1;1;1;1;1;38;0.5303746;1.027696;1.097311;189.0761;0;178.0194;-1.545227
5;49.81562;Memory;2.429824;4;1;7.822243;37;0;3;1;1;3;1;1;1;1;1;39;0.5156847;1.359457;0.8905869;189.0761;-36;200.7586;-38.68095
6;58.77391;Memory;2.492305;4;1;8.958286;37;0;1;3;1;1;3;1;1;1;1;36;0.5135668;1.280513;2.120013;189.0761;72;147.1472;65.91071
0;7.772312;Memory;2.449117;5;1;7.772312;0;0;0;1;1;0;1;1;1;1;1;35;0.5135672;1.558063;2.523255;189.0761;144;160.0927;147.9706
1;16.99693;Memory;1.988373;5;1;9.224619;35;0;9;3;1;9;3;1;1;1;1;38;0.6302515;1.010672;1.197621;189.0761;162;160.3107;163.2578
2;26.93962;Memory;2.319781;5;1;9.942694;36;0;7;3;1;7;3;1;1;1;1;38;0.5467014;0.9614;1.365247;189.0761;108;165.8926;114.1699
3;35.58117;Memory;2.402313;5;1;8.641548;37;0;5;2;0;5;2;0;1;1;1;38;0.5301974;1.276287;1.170498;189.0761;-144;151.1217;-146.1523
4;43.22277;Memory;2.467922;5;1;7.641602;37;0;4;0;0;4;0;0;1;1;1;39;0.514282;0.9957078;0.8044761;189.0761;126;169.2084;133.461
5;51.71579;Memory;2.54389;5;1;8.493011;37;0;8;1;1;8;1;1;1;1;1;38;0.4973896;1.576915;1.202601;189.0761;108;154.3629;115.464
