Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
0.01645976	0.03974222	0.1885127	-0.0006366411	-0.003019834	1.020122E-05	4.838832E-05	0	0
0.04461259	0.03974222	0.1885127	0	0	-1.020312E-05	-4.839735E-05	0	0
0.0611805	0.03974222	0.1885127	0	0	0	0	0	0
0.07774724	0.03971595	0.1884946	-0.001585977	-0.001089249	-0.04786461	-0.03287341	0	0
0.09431358	0.03968967	0.1884765	-0.001586016	-0.001090175	-1.162991E-06	-2.794692E-05	0	0
0.1108807	0.0396634	0.1884585	-0.00158594	-0.001090123	2.283793E-06	1.570547E-06	0	0
0.1275903	0.03958457	0.1884043	-0.004717242	-0.003240693	-0.09409873	-0.06462678	0	0
0.144101	0.03950575	0.1883502	-0.004774087	-0.003280647	-0.001711142	-0.001202697	0	0
0.1605801	0.03942693	0.188296	-0.004783234	-0.003286029	-0.0002772813	-0.0001631378	0	0
0.177148	0.03940065	0.188278	-0.001585865	-0.001090071	0.09675212	0.0664495	0	0
0.1941391	0.03937438	0.1882599	-0.001546367	-0.001062922	0.001176953	0.0008089993	0	0
0.2102823	0.0393481	0.1882419	-0.001627592	-0.00111783	-0.002451379	-0.001657137	0	0
0.2268486	0.0393481	0.1882419	0	0	0.049759	0.03417448	0	0
0.2434154	0.03932182	0.1882238	-0.001586202	-0.001090149	-0.04787368	-0.03290213	0	0
0.2634007	0.03932182	0.1882238	0	0	0.04339569	0.02982454	0	0
0.2799706	0.03932182	0.1882238	0	0	0	0	0	0
0.2965413	0.03932182	0.1882238	0	0	0	0	0	0
0.3132233	0.03932182	0.1882238	0	0	0	0	0	0
0.3296692	0.03932182	0.1882238	0	0	0	0	0	0
0.3462454	0.03929555	0.1882057	-0.001585072	-0.001088627	-0.04800029	-0.0329666	0	0
0.3628031	0.03932182	0.1881877	0.001586847	-0.001090746	0.09573042	-6.394542E-05	0	0
0.3793698	0.03929555	0.1881696	-0.001585979	-0.00108925	-0.09578519	4.51612E-05	0	0
0.4787678	0.03905907	0.1880071	-0.002379099	-0.001634813	-0.006839321	-0.004704557	0	0
0.4953547	0.03879631	0.1878266	-0.01584142	-0.01088466	-0.1160696	-0.07975047	0	0
0.5119017	0.03813939	0.1873752	-0.03970035	-0.02727903	-0.7200767	-0.494792	0	0
0.528875	0.03698313	0.1865807	-0.0681224	-0.04680965	-0.8479055	-0.5826503	0	0
0.5450347	0.03664149	0.1863459	-0.02114163	-0.01452705	1.417944	0.974333	0	0
0.5618955	0.03664149	0.1863459	0	0	0.6402566	0.4399395	0	0
0.5781682	0.03664149	0.1863459	0	0	0	0	0	0
0.5949209	0.03664149	0.1863459	0	0	0	0	0	0
0.6113013	0.03664149	0.1863459	0	0	0	0	0	0
0.6278692	0.03664149	0.1863459	0	0	0	0	0	0
0.6444348	0.03664149	0.1863459	0	0	0	0	0	0
0.6775683	0.03664149	0.1863459	0	0	0	0	0	0
0.7107014	0.03664149	0.1863459	0	0	0	0	0	0
0.7440243	0.03664149	0.1863459	0	0	0	0	0	0
0.7604012	0.03664149	0.1863459	0	0	0	0	0	0
0.7770485	0.03664149	0.1863459	0	0	0	0	0	0
0.7935347	0.03664149	0.1863459	0	0	0	0	0	0
0.8101014	0.03664149	0.1863459	0	0	0	0	0	0
0.8266682	0.03664149	0.1863459	0	0	0	0	0	0
0.8435946	0.03664149	0.1863459	0	0	0	0	0	0
0.8598013	0.03664149	0.1863459	0	0	0	0	0	0
0.9138466	0.03664149	0.1863459	0	0	0	0	0	0
0.9306576	0.03664149	0.1863459	0	0	0	0	0	0
0.9469816	0.03664149	0.1863459	0	0	0	0	0	0
0.9635484	0.03661521	0.186364	-0.001586201	0.001090148	-0.04822637	0.03314452	0	0
0.9801151	0.03661521	0.186364	0	0	0.04787301	-0.03290167	0	0
0.9966819	0.03661521	0.186364	0	0	0	0	0	0
1.013247	0.03661521	0.186364	0	0	0	0	0	0
1.029815	0.03661521	0.186364	0	0	0	0	0	0
1.046381	0.03661521	0.186364	0	0	0	0	0	0
1.062949	0.03661521	0.186364	0	0	0	0	0	0
1.079516	0.03661521	0.186364	0	0	0	0	0	0
1.096784	0.03661521	0.186364	0	0	0	0	0	0
1.129304	0.03661521	0.186364	0	0	0	0	0	0
1.145815	0.03661521	0.186364	0	0	0	0	0	0
1.162349	0.03664149	0.1863459	0.001589312	-0.001092285	0.04809529	-0.03305443	0	0
1.178915	0.03664149	0.1863459	0	0	-0.0480151	0.03299931	0	0
1.195481	0.03664149	0.1863459	0	0	0	0	0	0
1.212047	0.03664149	0.1863459	0	0	0	0	0	0
1.228869	0.03664149	0.1863459	0	0	0	0	0	0
1.245181	0.03661521	0.186364	-0.001610961	0.001107165	-0.04862031	0.03341526	0	0
1.261748	0.03661521	0.186364	0	0	0.04899685	-0.03367405	0	0
1.282116	0.03661521	0.186364	0	0	0	0	0	0
1.29892	0.03661521	0.186364	0	0	0	0	0	0
1.315249	0.03661521	0.186364	0	0	0	0	0	0
1.331941	0.03661521	0.186364	0	0	0	0	0	0
1.348383	0.03661521	0.186364	0	0	0	0	0	0
1.364983	0.03661521	0.186364	0	0	0	0	0	0
1.381517	0.03661521	0.186364	0	0	0	0	0	0
1.398083	0.03661521	0.186364	0	0	0	0	0	0
1.431511	0.03661521	0.186364	0	0	0	0	0	0
1.447783	0.03661521	0.186364	0	0	0	0	0	0
1.46435	0.03661521	0.186364	0	0	0	0	0	0
1.480917	0.03661521	0.186364	0	0	0	0	0	0
1.49756	0.03661521	0.186364	0	0	0	0	0	0
1.51405	0.03661521	0.186364	0	0	0	0	0	0
1.530617	0.03661521	0.186364	0	0	0	0	0	0
1.547186	0.03661521	0.186364	0	0	0	0	0	0
1.563751	0.03664149	0.1863459	0.001586315	-0.001090226	0.04787594	-0.03290368	0	0
1.580319	0.03664149	0.1863459	0	0	-0.04787715	0.03290451	0	0
1.596884	0.03664149	0.1863459	0	0	0	0	0	0
1.61345	0.03664149	0.1863459	0	0	0	0	0	0
1.630018	0.03661521	0.186364	-0.001586167	0.001090124	-0.04787267	0.03290143	0	0
1.646583	0.03661521	0.186364	0	0	0.04787267	-0.03290143	0	0
1.663175	0.03661521	0.186364	0	0	0	0	0	0
1.679717	0.03661521	0.186364	0	0	0	0	0	0
1.696283	0.03661521	0.186364	0	0	0	0	0	0
1.71285	0.03661521	0.186364	0	0	0	0	0	0
1.729419	0.03661521	0.186364	0	0	0	0	0	0
1.745983	0.03661521	0.186364	0	0	0	0	0	0
1.76255	0.03661521	0.186364	0	0	0	0	0	0
1.779117	0.03661521	0.186364	0	0	0	0	0	0
