	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	3.497732	MultiSuits	2.484876	6	1	3.497732	0	0	5	1	1	5	1	1	1	1	1	38	0.5135671	0	1.093476	189.0761	-60	134.5532	-59.18222
1	9.568822	MultiSuits	2.703262	6	1	6.07109	38	0	0	0	0	0	0	0	1	1	1	37	0.4748349	0	1.655562	189.0761	78	140.9965	84.46201
2	15.91406	MultiSuits	2.562741	6	1	6.345238	37	0	3	1	1	3	1	1	1	1	1	37	0.5014604	0	1.683144	189.0761	42	150.7919	40.20881
3	21.82229	MultiSuits	2.511303	6	1	5.908231	37	0	9	0	0	9	0	0	1	1	1	37	0.5005832	0	1.563907	189.0761	144	167.6913	137.0131
4	27.60191	MultiSuits	2.500489	6	1	5.779617	37	0	7	0	0	7	0	0	1	1	1	38	0.5135672	0	1.103563	189.0761	-18	167.9664	-16.5405
5	34.04569	MultiSuits	2.540035	6	1	6.443785	37	0	6	1	1	6	1	1	1	1	1	37	0.492908	0	1.747078	189.0761	-102	132.8695	-93.71735
6	41.28378	MultiSuits	2.512773	6	1	7.238083	37	0	7	2	0	7	2	0	1	1	1	35	0.513586	0	2.582532	189.0761	144	159.9618	151.9915
7	48.25629	MultiSuits	2.433624	6	1	6.972515	37	0	1	3	1	1	3	1	1	1	1	36	0.522797	0	2.299968	189.0761	60	160.1547	67.56303
8	54.15353	MultiSuits	2.391923	6	1	5.897236	36	0	2	3	1	2	3	1	1	1	1	39	0.5301497	0	0.9733857	189.0761	-36	138.491	-28.98076
9	60.85009	MultiSuits	2.433188	6	1	6.696564	37	0	7	3	1	7	3	1	1	1	1	39	1.727936	0	0.9657433	189.0761	-60	152.7334	-68.49606
