	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	4.813178	Basic	2.435825	4	1	4.813178	0	0	3	0	0	3	0	0	1	1	1	35	0.5149512	0	2.696555	189.0761	108	193.943	110.4944
1	11.18253	Basic	1.935825	4	1	6.369348	35	0	9	3	1	9	3	1	1	1	1	38	0.6479778	0	1.178885	189.0761	-180	182.9027	172.5556
2	17.5581	Basic	2.28114	4	1	6.375572	36	0	7	3	1	7	3	1	1	1	1	37	0.5491466	0	1.822469	189.0761	72	155.0025	62.96372
3	23.17533	Basic	2.300349	4	1	5.617231	36	0	4	1	1	4	1	1	1	1	1	39	0.550109	0	0.9856783	189.0761	-180	176.9995	172.0361
4	29.99507	Basic	2.414552	4	1	6.819738	37	0	3	2	0	3	2	0	1	1	1	37	1.127492	0	1.809571	189.0761	-126	169.3541	-121.3428
5	35.93645	Basic	2.400684	4	1	5.94138	37	0	9	1	1	9	1	1	1	1	1	38	0.5301355	0	1.390576	189.0761	144	146.0524	149.2851
6	41.09625	Basic	2.426355	4	1	5.159801	37	0	5	3	1	5	3	1	1	1	1	39	0.5302523	0	0.9807931	189.0761	162	163.1243	159.5792
7	46.95148	Basic	2.473962	4	1	5.855232	37	0	8	2	0	8	2	0	1	1	1	37	0.5158149	0	1.651055	189.0761	108	169.4126	109.48
8	52.24677	Basic	2.467776	4	1	5.295284	37	0	3	3	1	3	3	1	1	1	1	39	0.5135672	0	0.9700052	189.0761	162	162.6469	169.8736
9	57.8346	Basic	2.500801	4	1	5.587837	37	0	6	0	0	6	0	0	1	1	1	38	0.5013455	0	1.230379	189.0761	54	139.9245	52.0912
10	62.95949	Basic	2.514202	4	1	5.124886	37	0	2	1	1	2	1	1	1	1	1	38	0.5135707	0	1.080872	189.0761	-180	171.8038	178.3999
