	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	5.200491	CountSuits	2.369215	4	1	5.200491	0	0.3532562	1	2	0	1	2	0	1	1	1	35	1.10612	0	2.557422	189.0761	54	145.2321	41.16119
1	11.73729	CountSuits	1.971289	4	1	6.536799	35	0	1	2	0	1	2	0	1	1	1	38	0.6461026	0	1.028441	189.0761	72.00002	168.1605	83.2394
2	18.07526	CountSuits	2.353534	4	1	6.337966	36	0	9	2	0	9	2	0	1	1	1	38	1.254283	0	1.213944	189.0761	54	187.0338	55.98825
3	24.37311	CountSuits	2.450032	4	1	6.29785	37	0	0	3	1	0	3	1	1	1	1	37	0.6924079	0	1.875413	189.0761	-71.99999	139.7671	-79.0306
4	30.17166	CountSuits	2.415597	4	1	5.798555	37	0	6	2	0	6	2	0	1	1	1	38	0.5197096	0	1.497286	189.0761	-18	185.6523	-20.65221
5	36.06622	CountSuits	2.432749	4	1	5.894554	37	0	2	2	0	2	2	0	1	1	1	37	0.5301355	0	1.600384	189.0761	108	137.3823	98.07986
6	42.27349	CountSuits	2.435592	4	1	6.207279	37	0	9	1	1	9	1	1	1	1	1	37	0.5201952	0	1.821862	189.0761	1.001791E-05	143.1793	-0.9407209
7	47.97384	CountSuits	2.421803	4	1	5.700344	37	0	9	1	1	9	1	1	1	1	1	38	0.523048	0	1.194464	189.0761	1.001791E-05	181.5187	-6.773122
8	54.17898	CountSuits	2.450674	4	1	6.205139	37	0	7	2	0	7	2	0	1	1	1	37	0.5135695	0	1.942942	189.0761	162	174.2664	177.4441
9	59.62233	CountSuits	2.431547	4	1	5.443352	37	0	4	2	0	4	2	0	1	1	1	38	0.5192434	0	1.263682	189.0761	1.001791E-05	142.5034	-2.558963
