	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	10.80028	Memory	2.025734	3	1	10.80028	0	0	8	2	0	8	2	0	1	1	1	38	1.429169	0.6294685	1.22184	189.0761	-162	180.5165	-175.5297
1	18.9136	Memory	2.525734	3	1	8.113318	38	0	3	2	0	3	2	0	1	1	1	38	0.4975432	0.8780501	1.273275	189.0761	-108	185.039	-107.1739
2	27.60422	Memory	2.626221	3	1	8.690624	38	0	6	1	1	6	1	1	1	1	1	39	0.4806778	0.4807472	0.9821808	189.0761	78.00001	189.2542	87.35233
3	35.15263	Memory	2.670451	3	1	7.548405	38	0.3539252	7	0	0	7	0	0	1	1	1	38	0.4807045	0.778895	1.255029	189.0761	78.00001	179.7314	89.27985
4	42.97641	Memory	2.658459	3	1	7.823788	38	0	6	3	1	6	3	1	1	1	1	39	0.4804349	0.8779122	0.939762	189.0761	78.00001	195.9273	91.11375
5	51.40891	Memory	2.682791	3	1	8.432499	38	0	9	0	0	9	0	0	1	1	1	36	0.4804989	0.4660954	2.208416	189.0761	-60	180.0809	-57.66822
6	60.08833	Memory	2.593291	3	1	8.67942	38	0	1	1	1	1	1	1	1	1	1	38	1.457825	0.4976226	1.142919	189.0761	-42	189.2205	-27.68641
