	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	11.16959	CountSuits	2.343342	3	1	11.16959	0	0	5	3	1	5	3	1	1	1	1	36	1.469648	0	2.286475	189.0761	60	142.6629	65.08341
1	18.14227	CountSuits	2.106762	3	1	6.972683	36	0	6	0	0	6	0	0	1	1	1	36	0.6022719	0	2.049768	189.0761	144	160.3455	146.2089
2	25.281	CountSuits	2.165939	3	1	7.138729	36	0	2	3	1	2	3	1	1	1	1	37	1.601562	0	1.558354	189.0761	60	182.873	66.10902
3	32.00732	CountSuits	2.267567	3	1	6.726326	36	0	7	3	1	7	3	1	1	1	1	36	0.5526713	0	2.36963	189.0761	-138	212.2368	-141.4386
4	38.19806	CountSuits	2.216972	3	1	6.190739	36	0	9	0	0	9	0	0	1	1	1	37	0.5698705	0	1.505171	189.0761	18	194.4622	5.961617
5	44.35498	CountSuits	2.27306	3	1	6.156921	36	0	7	1	1	7	1	1	1	1	1	37	0.6727242	0	1.694652	189.0761	78.00001	165.5397	85.29983
6	50.05825	CountSuits	2.294662	3	1	5.703262	36	0	5	3	1	5	3	1	1	1	1	38	0.5535726	0	1.409369	189.0761	24.00001	186.3927	13.5429
7	55.85694	CountSuits	2.33047	3	1	5.798691	36	0	6	3	1	6	3	1	1	1	1	38	0.5372732	0	1.354683	189.0761	48.00001	159.8729	34.94812
8	61.7869	CountSuits	2.360744	3	1	5.929966	36	0	9	1	1	9	1	1	1	1	1	37	0.5301346	0	1.62602	189.0761	132	147.4717	145.429
