Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
0.01665042	-0.03622099	-0.007112423	0.0005846088	0.0001147949	-9.438142E-06	-1.853291E-06	0	0
0.04671624	-0.03020134	-0.01143507	0.2002159	-0.1437729	-0.003223624	0.002323483	0	0
0.06328653	-0.02315376	-0.01650125	0.4253145	-0.3057387	4.826704	-3.47297	0	0
0.079858	-0.01868204	-0.01971904	0.2698445	-0.1941764	-4.691062	3.366216	0	0
0.09642513	-0.0168142	-0.02106391	0.1127433	-0.08117692	-4.740731	3.409905	0	0
0.1129915	-0.01515673	-0.02225772	0.1000505	-0.07206275	-0.3830799	0.2750744	0	0
0.1295629	-0.01263091	-0.02407774	0.1524201	-0.1098284	1.580359	-1.139654	0	0
0.1506619	-0.01126268	-0.02506403	0.06484811	-0.04674577	-2.324691	1.674594	0	0
0.1672322	-0.01094693	-0.02529168	0.0190552	-0.01373837	-1.215659	0.8762432	0	0
0.1837969	-0.01094693	-0.02529168	0	0	-0.5750768	0.4146177	0	0
0.2003637	-0.01092062	-0.02531065	0.001588282	-0.001145128	0.04793875	-0.03456313	0	0
0.2169304	-0.01092062	-0.02531065	0	0	-0.04793588	0.03456106	0	0
0.2666298	-0.01089431	-0.02529168	0.0005294358	0.0003817155	0.007989534	0.005760338	0	0
0.283197	-0.01089431	-0.02529168	0	0	-0.007989486	-0.005760303	0	0
0.2997637	-0.01089431	-0.02529168	0	0	0	0	0	0
0.316366	-0.01092062	-0.02531065	-0.001584882	-0.001142677	-0.04778203	-0.03445015	0	0
0.3328968	-0.01092062	-0.02531065	0	0	0.04783382	0.03448749	0	0
0.3498898	-0.01092062	-0.02531065	0	0	0	0	0	0
0.3664045	-0.01092062	-0.02531065	0	0	0	0	0	0
0.3829136	-0.01092062	-0.02531065	0	0	0	0	0	0
0.4159385	-0.01092062	-0.02531065	0	0	0	0	0	0
0.4324464	-0.01092062	-0.02531065	0	0	0	0	0	0
0.4488631	-0.01092062	-0.02531065	0	0	0	0	0	0
0.4654318	-0.01092062	-0.02531065	0	0	0	0	0	0
0.4819986	-0.01092062	-0.02531065	0	0	0	0	0	0
0.4985657	-0.01092062	-0.02531065	0	0	0	0	0	0
0.5151321	-0.01092062	-0.02531065	0	0	0	0	0	0
0.5316988	-0.01092062	-0.02527271	0	0.002290254	0	0.06912281	0	0
0.5482636	-0.01092062	-0.02527271	0	0	0	-0.06912611	0	0
0.5648319	-0.01094693	-0.02525374	-0.001588132	0.00114502	-0.04793191	0.03455821	0	0
0.5813987	-0.01099956	-0.02521579	-0.003176562	0.002290254	-0.04793803	0.03456262	0	0
0.5980625	-0.01102587	-0.02519682	-0.001579026	0.001138455	0.04807422	-0.03466081	0	0
0.6310989	-0.01131531	-0.02498815	-0.008761178	0.00631644	-0.1445095	0.1041844	0	0
0.6476652	-0.01155212	-0.02481743	-0.01429472	0.01030539	-0.1115573	0.08041807	0	0
0.6642323	-0.01192049	-0.02451395	-0.022235	0.01831827	-0.2396456	0.2418364	0	0
0.6807994	-0.01281509	-0.02386915	-0.05399858	0.03892056	-0.9586337	0.6217828	0	0
0.6973653	-0.01528828	-0.02208715	-0.1492941	0.1075699	-2.876149	2.071931	0	0
0.7139329	-0.01565661	-0.02182183	-0.02223219	0.01601428	3.834854	-2.763239	0	0
0.7304992	-0.01565661	-0.02182183	0	0	0.670981	-0.4833206	0	0
0.7470667	-0.01565661	-0.02182183	0	0	0	0	0	0
0.7636319	-0.01565661	-0.02182183	0	0	0	0	0	0
0.780199	-0.01565661	-0.02182183	0	0	0	0	0	0
0.7967649	-0.01565661	-0.02182183	0	0	0	0	0	0
0.8133324	-0.01565661	-0.02182183	0	0	0	0	0	0
0.8299012	-0.01565661	-0.02182183	0	0	0	0	0	0
0.8464707	-0.01565661	-0.02182183	0	0	0	0	0	0
0.8630358	-0.01565661	-0.02182183	0	0	0	0	0	0
0.879777	-0.01565661	-0.02182183	0	0	0	0	0	0
0.8961681	-0.01565661	-0.02182183	0	0	0	0	0	0
0.9183206	-0.01565661	-0.02182183	0	0	0	0	0	0
0.9348909	-0.01565661	-0.02182183	0	0	0	0	0	0
0.9518137	-0.01565661	-0.02182183	0	0	0	0	0	0
