	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	5.548849	Basic	2.271064	8	1	5.548849	0	0	3	0	0	3	0	0	1	1	1	35	0.9655625	0	2.753896	189.0761	-117	174.7599	-129.8641
1	14.6467	Basic	1.873052	8	1	9.097847	35	0	6	0	0	6	0	0	1	1	1	36	0.6817871	0	2.49964	189.0761	-44.99998	160.8903	-46.82627
2	24.09348	Basic	1.936616	8	1	9.446785	35	0	2	0	0	2	0	0	1	1	1	34	0.6477311	0	3.487198	189.0761	27	183.2752	29.15004
3	32.87997	Basic	1.793211	8	1	8.786493	35	0	7	0	0	7	0	0	1	1	1	36	0.6973054	0	2.032291	189.0761	9.000014	197.358	-4.946288
4	40.5379	Basic	1.903372	8	1	7.657921	35	0	8	3	1	8	3	1	1	1	1	37	0.6641331	0	1.723608	189.0761	-27	167.6804	-23.22747
5	48.49376	Basic	2.000337	8	1	7.95586	35	0	7	3	1	7	3	1	1	1	1	36	0.6346717	0	2.105272	189.0761	117	148.8011	118.9234
6	56.71394	Basic	2.033175	8	1	8.220184	35	0	8	1	1	8	1	1	1	1	1	35	0.6155687	0	2.642771	189.0761	99.00003	161.3297	95.6408
7	64.99726	Basic	2.018237	8	1	8.283321	35	0	6	3	1	6	3	1	1	1	1	36	0.6323975	0	2.343584	189.0761	117	154.1655	112.1734
